product_name,size,milk,serv_size_m_l,calories,total_carbs_g,sugar_g,caffeine_mg,sugar_per_100ml
brewed coffee - dark roast,short,none,236,3,0,0,130,0.0
brewed coffee - dark roast,tall,none,354,4,0,0,193,0.0
brewed coffee - dark roast,grande,none,473,5,0,0,260,0.0
brewed coffee - dark roast,venti,none,591,5,0,0,340,0.0
brewed coffee - decaf pike place roast,short,none,236,3,0,0,15,0.0
brewed coffee - decaf pike place roast,tall,none,354,4,0,0,20,0.0
brewed coffee - decaf pike place roast,grande,none,473,5,0,0,25,0.0
brewed coffee - decaf pike place roast,venti,none,591,5,0,0,30,0.0
brewed coffee - medium roast,short,none,236,3,0,0,155,0.0
brewed coffee - medium roast,tall,none,354,4,0,0,235,0.0
brewed coffee - medium roast,grande,none,473,5,0,0,310,0.0
brewed coffee - medium roast,venti,none,591,5,0,0,410,0.0
brewed coffee - True North Blend Blonde roast,short,none,236,3,0,0,180,0.0
brewed coffee - True North Blend Blonde roast,tall,none,354,4,0,0,270,0.0
brewed coffee - True North Blend Blonde roast,grande,none,473,5,0,0,360,0.0
brewed coffee - True North Blend Blonde roast,venti,none,591,5,0,0,475,0.0
Caffè Misto,short,nonfat,236,35,5,5,75,2.12
Caffè Misto,short,2% milk,236,50,5,5,75,2.12
Caffè Misto,short,whole,236,70,5,5,75,2.12
Caffè Misto,short,soy,236,40,3,2,75,0.85
Caffè Misto,short,coconut,236,40,4,3,75,1.27
Caffè Misto,tall,nonfat,354,60,8,8,115,2.26
Caffè Misto,tall,2% milk,354,80,8,8,115,2.26
Caffè Misto,tall,whole,354,100,8,8,115,2.26
Caffè Misto,tall,soy,354,60,5,4,115,1.13
Caffè Misto,tall,coconut,354,60,6,5,115,1.41
Caffè Misto,grande,nonfat,473,70,10,10,150,2.11
Caffè Misto,grande,2% milk,473,110,10,10,150,2.11
Caffè Misto,grande,whole,473,130,10,10,150,2.11
Caffè Misto,grande,soy,473,80,6,5,150,1.06
Caffè Misto,grande,coconut,473,70,7,7,150,1.48
Caffè Misto,venti,nonfat,591,90,13,13,195,2.2
Caffè Misto,venti,2% milk,591,130,13,13,195,2.2
Caffè Misto,venti,whole,591,160,13,13,195,2.2
Caffè Misto,venti,soy,591,100,8,6,195,1.02
Caffè Misto,venti,coconut,591,80,7,7,195,1.18
Clover Brewed Coffee - Dark Roast,short,none,236,10,0,0,190,0.0
Clover Brewed Coffee - Dark Roast,tall,none,354,10,0,0,280,0.0
Clover Brewed Coffee - Dark Roast,grande,none,473,10,0,0,380,0.0
Clover Brewed Coffee - Dark Roast,venti,none,591,10,0,0,470,0.0
Clover Brewed Coffee -  Light Roast,short,none,236,10,0,0,155,0.0
Clover Brewed Coffee -  Light Roast,tall,none,354,10,0,0,255,0.0
Clover Brewed Coffee -  Light Roast,grande,none,473,10,0,0,340,0.0
Clover Brewed Coffee -  Light Roast,venti,none,591,10,0,0,425,0.0
Clover Brewed Coffee - Medium Roast,short,none,236,10,0,0,170,0.0
Clover Brewed Coffee - Medium Roast,tall,none,354,10,0,0,280,0.0
Clover Brewed Coffee - Medium Roast,grande,none,473,10,0,0,375,0.0
Clover Brewed Coffee - Medium Roast,venti,none,591,10,0,0,445,0.0
Iced Coffee,tall,none,354,60,15,15,120,4.24
Iced Coffee,grande,none,473,80,20,20,165,4.23
Iced Coffee,venti,none,709,120,30,30,235,4.23
Iced Coffee,trenta,none,887,160,40,39,280,4.4
Iced Coffee with milk,tall,nonfat,354,80,17,17,90,4.8
Iced Coffee with milk,tall,2% milk,354,80,17,17,90,4.8
Iced Coffee with milk,tall,whole,354,90,17,17,90,4.8
Iced Coffee with milk,tall,soy,354,80,16,16,90,4.52
Iced Coffee with milk,tall,coconut,354,80,17,16,110,4.52
Iced Coffee with milk,grande,nonfat,473,100,23,23,125,4.86
Iced Coffee with milk,grande,2% milk,473,110,23,23,125,4.86
Iced Coffee with milk,grande,whole,473,120,23,23,125,4.86
Iced Coffee with milk,grande,soy,473,110,22,21,125,4.44
Iced Coffee with milk,grande,coconut,473,100,22,22,150,4.65
Iced Coffee with milk,venti,nonfat,709,160,35,35,170,4.94
Iced Coffee with milk,venti,2% milk,709,170,35,35,170,4.94
Iced Coffee with milk,venti,whole,709,190,35,35,170,4.94
Iced Coffee with milk,venti,soy,709,160,33,32,170,4.51
Iced Coffee with milk,venti,coconut,709,160,33,33,205,4.65
Iced Coffee with milk,trenta,nonfat,887,210,46,46,190,5.19
Iced Coffee with milk,trenta,2% milk,887,230,46,46,190,5.19
Iced Coffee with milk,trenta,whole,887,240,46,46,190,5.19
Iced Coffee with milk,trenta,soy,887,220,44,43,190,4.85
Iced Coffee with milk,trenta,coconut,887,210,44,44,190,4.96
Cold Brewed Coffee,tall,none,354,2,0,0,150,0.0
Cold Brewed Coffee,grande,none,473,3,0,0,200,0.0
Cold Brewed Coffee,venti,none,709,4,0,0,300,0.0
Cold Brewed Coffee,trenta,none,887,5,0,0,330,0.0
Vanilla Sweet Cream Cold Brew,tall,none,354,100,12,12,140,3.39
Vanilla Sweet Cream Cold Brew,grande,none,473,110,14,14,185,2.96
Vanilla Sweet Cream Cold Brew,venti,none,709,200,24,24,275,3.39
Vanilla Sweet Cream Cold Brew,trenta,none,887,210,26,26,320,2.93
Espresso - Caffè Americano,short,none,236,5,1,0,75,0.0
Espresso - Caffè Americano,tall,none,354,10,1,0,150,0.0
Espresso - Caffè Americano,grande,none,473,15,1,0,225,0.0
Espresso - Caffè Americano,venti,none,591,25,1,0,300,0.0
Espresso - Iced Caffè Americano,tall,none,354,10,2,0,150,0.0
Espresso - Iced Caffè Americano,grande,none,473,15,3,0,225,0.0
Espresso - Iced Caffè Americano,venti,none,709,25,3,0,300,0.0
Caffè Latte,tall,nonfat,354,100,15,14,75,3.95
Caffè Latte,tall,2% milk,354,150,15,14,75,3.95
Caffè Latte,tall,whole,354,180,15,14,75,3.95
Caffè Latte,tall,soy,354,110,10,6,75,1.69
Caffè Latte,tall,coconut,354,110,11,10,75,2.82
Caffè Latte,grande,nonfat,473,130,19,18,150,3.81
Caffè Latte,grande,2% milk,473,190,19,17,150,3.59
Caffè Latte,grande,whole,473,230,19,17,150,3.59
Caffè Latte,grande,soy,473,150,13,8,150,1.69
Caffè Latte,grande,coconut,473,140,14,12,150,2.54
Caffè Latte,venti,nonfat,591,170,25,23,150,3.89
Caffè Latte,venti,2% milk,591,240,24,22,150,3.72
Caffè Latte,venti,whole,591,290,24,22,150,3.72
Caffè Latte,venti,soy,591,190,16,11,150,1.86
Caffè Latte,venti,coconut,591,170,18,16,150,2.71
Iced Caffè Latte,tall,nonfat,354,70,10,9,75,2.54
Iced Caffè Latte,tall,2% milk,354,100,10,9,75,2.54
Iced Caffè Latte,tall,whole,354,120,10,9,75,2.54
Iced Caffè Latte,tall,soy,354,80,7,4,75,1.13
Iced Caffè Latte,tall,coconut,354,70,7,6,75,1.69
Iced Caffè Latte,grande,nonfat,473,90,13,11,150,2.33
Iced Caffè Latte,grande,2% milk,473,130,13,11,150,2.33
Iced Caffè Latte,grande,whole,473,150,13,11,150,2.33
Iced Caffè Latte,grande,soy,473,100,9,5,150,1.06
Iced Caffè Latte,grande,coconut,473,90,10,8,150,1.69
Iced Caffè Latte,venti,nonfat,709,130,19,16,225,2.26
Iced Caffè Latte,venti,2% milk,709,180,18,15,225,2.12
Iced Caffè Latte,venti,whole,709,210,18,15,225,2.12
Iced Caffè Latte,venti,soy,709,150,13,8,225,1.13
Iced Caffè Latte,venti,coconut,709,130,14,11,225,1.55
Caffè Mocha,short,nonfat,236,120,21,17,90,7.2
Caffè Mocha,short,nonfat,236,180,23,18,90,7.63
Caffè Mocha,short,2% milk,236,150,21,17,90,7.2
Caffè Mocha,short,2% milk,236,200,22,18,90,7.63
Caffè Mocha,short,whole,236,160,21,17,90,7.2
Caffè Mocha,short,whole,236,210,22,18,90,7.63
Caffè Mocha,short,soy,236,130,18,13,90,5.51
Caffè Mocha,short,soy,236,180,20,14,90,5.93
Caffè Mocha,short,coconut,236,130,19,15,90,6.36
Caffè Mocha,short,coconut,236,180,21,16,90,6.78
Caffè Mocha,tall,nonfat,354,190,32,27,95,7.63
Caffè Mocha,tall,nonfat,354,250,34,28,95,7.91
Caffè Mocha,tall,2% milk,354,230,32,26,95,7.34
Caffè Mocha,tall,2% milk,354,290,34,28,95,7.91
Caffè Mocha,tall,whole,354,250,32,26,95,7.34
Caffè Mocha,tall,whole,354,310,34,28,95,7.91
Caffè Mocha,tall,soy,354,200,28,20,95,5.65
Caffè Mocha,tall,soy,354,260,30,22,95,6.21
